trade_id,代码,信号日,买入日,卖出日,is_zt,lu_250d,lu_60d,lu_20d,est_float_cap,price,avg_amount_20d_yi,max_consec_zt,is_250d_high,days_since_last_zt,pre_vol_slope,pre_price_slope,pre_vol_expansion,pre_price_compression,pre_sum_chg,pre_pos_days,pre_close_pos,mkt_7pct_count,mkt_zt_count,mkt_avg_7pct_gain,mkt_hot_sector_count,mkt_sh_above_ma60,sec_zt_count,sec_avg_gain,sec_has_zhongjun,sec_stock_count,sec_is_top1,sec_rank,sec_pos_days_3d,key,评分,信号涨幅%,突破幅度%,量比MAVOL180,持有天数,label_3d_return,label_return_gt_5pct,label_return_gt_0pct,label_is_zt,label_max_return,label_max_drawdown,label_day1_return
1,002640,20250512,20250513,20250515,1,9,5,1,3393.0,4.56,12.0,7,0,2,-7.51,0.34,0.79,0.96,0.21,4,0.56,149,97,10.69,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002640_20250512,69,8.3%,1.2,2.0,2,0.10310000000000001,1,1,1,0.16417910447761183,-0.061833688699360345,0.07889125799573543
2,603286,20250512,20250513,20250519,1,15,4,3,947.7,37.04,3.2,2,0,0,7.41,2.88,1.19,1.65,18.48,5,0.58,149,97,10.69,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603286_20250512,70,10.0%,6.7,1.2,4,-0.081,0,0,1,0.030982905982906084,-0.09188034188034183,-0.06490384615384615
3,002846,20250513,20250514,20250519,0,6,0,0,413.8,10.49,1.5,1,0,0,-10.5,0.38,0.5,0.4,4.63,4,0.82,89,69,10.87,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002846_20250513,80,10.0%,4.9,2.9,3,-0.0074,0,0,0,0.0029097963142579396,-0.05043646944713883,-0.044616876818622773
4,600610,20250513,20250514,20250520,1,4,1,0,3946.3,13.06,13.3,4,0,0,-4.12,3.46,0.73,1.05,23.55,7,0.66,89,69,10.87,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,600610_20250513,75,10.0%,0.7,2.6,4,0.2273,1,1,1,0.28920118343195267,-0.03550295857988169,-0.017751479289940846
5,002961,20250514,20250515,20250520,0,8,1,0,380.6,16.57,1.4,2,0,0,4.21,0.28,1.0,1.01,0.5,4,0.55,118,86,10.98,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002961_20250514,80,10.0%,6.0,2.4,3,-0.0332,0,0,0,-0.014863258026159334,-0.04934601664684899,-0.03686087990487521
6,600370,20250514,20250515,20250520,0,14,1,0,214.9,2.08,0.8,3,0,0,0.48,0.5,1.13,0.93,1.82,4,0.74,118,86,10.98,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,600370_20250514,70,10.1%,5.9,1.1,3,-0.0723,0,0,0,-0.0045871559633028575,-0.07798165137614696,-0.05045871559633042
7,600800,20250514,20250515,20250520,0,8,1,1,831.4,4.0,2.8,7,0,0,2.59,1.86,1.12,1.05,10.03,4,0.72,118,86,10.98,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,600800_20250514,90,9.9%,6.7,4.5,3,0.0452,0,1,0,0.07179487179487175,-0.1461538461538461,-0.0794871794871795
8,603332,20250514,20250515,20250521,1,3,0,0,240.9,14.36,0.7,4,1,0,0.77,3.74,1.14,6.59,35.62,7,1.0,118,86,10.98,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603332_20250514,90,10.0%,6.2,4.9,4,0.2053,1,1,1,0.31868131868131866,-0.018315018315018316,0.07619047619047613
9,603839,20250515,20250516,20250521,0,9,1,1,182.5,6.79,0.6,2,0,0,-1.59,1.86,0.69,0.38,19.45,7,0.92,85,62,11.09,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603839_20250515,70,10.1%,6.5,1.3,3,-0.0192,0,0,0,0.05999999999999999,-0.03714285714285711,0.0071428571428571175
10,002915,20250516,20250519,20250522,0,11,3,1,3550.4,22.37,12.9,3,0,0,2.09,0.53,1.0,0.62,6.75,5,0.39,125,85,10.24,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002915_20250516,85,10.0%,8.5,2.6,3,-0.11869999999999999,0,0,0,0.05130434782608694,-0.13043478260869565,-0.06391304347826082
