date,sh_close,sh_open,sh_high,sh_low,sh_chg,sh_amount,gz_close,gz_open,gz_high,gz_low,gz_chg,gz_amount,sz_close,sz_open,sz_high,sz_low,sz_chg,sz_amount,hs_close,hs_open,hs_high,hs_low,hs_chg,hs_amount,up_count,down_count,flat_count,limit_up,limit_down,scanned,sh_ma20,sh_ma60,sh_trend,sh_trend_now,sh_beichi
2025-08-08,3635.13,3634.85,3645.37,3625.45,-0.12,713569730560.0,9025.77,9039.98,9062.08,8997.66,-0.41,628981760000.0,11128.67,11136.34,11184.55,11108.46,-0.26,996656939008.0,4104.97,4109.27,4122.21,4097.42,-0.24,308507672576.0,3753,4670,303,86,14,8826,3578.47,3463.42,上涨,盘整,False
2025-08-11,3647.55,3637.05,3656.85,3629.63,0.34,751329476608.0,9170.5,9037.41,9178.38,9037.41,1.6,646529613824.0,11291.43,11159.03,11311.88,11159.03,1.46,1075643547648.0,4122.51,4110.29,4134.25,4103.61,0.43,360685830144.0,6844,1664,220,138,8,8874,3584.86,3468.09,上涨,盘整,False
2025-08-12,3665.92,3647.96,3669.04,3647.96,0.5,778161029120.0,9194.49,9171.27,9194.49,9100.8,0.26,672904249344.0,11351.63,11292.46,11351.63,11255.48,0.53,1103358984192.0,4143.83,4123.58,4153.29,4121.22,0.52,383088427008.0,3946,4512,280,66,15,8819,3592.91,3473.06,上涨,盘整,False
2025-08-13,3683.46,3668.66,3688.63,3666.55,0.48,887022616576.0,9324.47,9199.84,9328.12,9199.84,1.41,770508390400.0,11551.36,11371.08,11558.59,11362.9,1.76,1263914057728.0,4176.58,4150.5,4186.75,4147.2,0.79,462776729600.0,5377,3069,289,137,1,8873,3601.89,3478.11,上涨,盘整,False
2025-08-14,3666.44,3685.52,3704.77,3662.57,-0.46,949464268800.0,9179.3,9331.51,9336.83,9164.56,-1.56,798650531840.0,11451.43,11557.0,11607.41,11417.93,-0.87,1329744707584.0,4173.31,4179.97,4220.31,4165.94,-0.08,485075648512.0,1363,7242,137,57,37,8836,3609.37,3482.76,上涨,盘整,False
2025-08-15,3696.77,3659.81,3702.26,3658.38,0.83,960624984064.0,9374.51,9157.32,9374.51,9157.32,2.13,762106544128.0,11634.67,11419.28,11647.39,11419.28,1.6,1283986948096.0,4202.35,4162.42,4214.73,4157.5,0.7,518686867456.0,7519,1024,202,155,7,8907,3617.49,3488.04,上涨,盘整,False
2025-08-18,3728.03,3712.5,3745.94,3702.38,0.85,1133941882880.0,9566.31,9431.88,9592.5,9425.63,2.05,948705755136.0,11835.57,11690.94,11919.57,11642.59,1.73,1630221107200.0,4239.41,4218.25,4272.96,4203.42,0.88,635365883904.0,6872,1681,190,214,6,8963,3625.9,3494.36,上涨,盘整,False
2025-08-19,3727.29,3728.49,3746.67,3718.15,-0.02,1060899258368.0,9595.69,9563.35,9655.96,9514.87,0.31,921417744384.0,11821.63,11827.9,11908.68,11774.92,-0.12,1527469703168.0,4223.37,4241.77,4264.23,4215.21,-0.38,553536192512.0,4368,4107,277,124,18,8894,3633.17,3500.7,盘整,盘整,False
2025-08-20,3766.21,3716.68,3767.43,3704.99,1.04,1017500139520.0,9657.08,9548.71,9657.08,9486.26,0.64,822370893824.0,11926.74,11749.99,11926.74,11677.85,0.89,1390733950976.0,4271.4,4208.4,4272.15,4190.56,1.14,538815299584.0,6330,2192,226,121,23,8892,3642.36,3507.8,盘整,上涨,False
2025-08-21,3771.1,3770.68,3787.98,3757.99,0.13,997741887488.0,9584.42,9670.35,9700.55,9531.91,-0.75,828574007296.0,11919.76,11965.8,12011.78,11865.46,-0.06,1426314887168.0,4288.07,4284.37,4308.45,4273.65,0.39,558521253888.0,3887,4598,266,64,39,8854,3650.63,3514.98,盘整,上涨,False
2025-08-22,3825.76,3772.28,3825.76,3772.28,1.45,1095091486720.0,9699.77,9579.19,9699.77,9579.19,1.2,823771922432.0,12166.06,11902.04,12167.28,11902.04,2.07,1451618074624.0,4378.0,4287.36,4378.39,4287.36,2.1,675935092736.0,5519,2955,286,146,2,8908,3662.24,3522.69,盘整,上涨,False
2025-08-25,3883.56,3848.16,3883.56,3839.97,1.51,1360903929856.0,9845.8,9763.27,9877.03,9742.5,1.51,1020678766592.0,12441.07,12291.12,12477.97,12246.56,2.26,1780233535488.0,4469.22,4416.29,4472.65,4404.78,2.08,823681941504.0,6371,2197,198,139,7,8912,3676.52,3531.62,盘整,上涨,False
2025-08-26,3868.38,3871.47,3888.6,3859.76,-0.39,1114187890688.0,9832.87,9815.51,9897.43,9785.32,-0.13,877966262272.0,12473.17,12398.81,12561.49,12361.49,0.26,1564832038912.0,4452.59,4453.35,4476.8,4435.53,-0.37,627950419968.0,4254,4298,220,101,16,8889,3689.45,3540.06,盘整,上涨,False
2025-08-27,3800.35,3869.61,3887.2,3800.35,-1.76,1326848802816.0,9634.84,9844.57,9934.47,9634.84,-2.01,1030629425152.0,12295.07,12483.19,12665.36,12295.07,-1.43,1838716026880.0,4386.13,4458.84,4494.91,4386.13,-1.49,785098473472.0,1044,7653,79,68,27,8871,3698.68,3547.13,盘整,上涨,False
2025-08-28,3843.6,3796.71,3845.09,3761.42,1.14,1265185587200.0,9759.28,9620.87,9759.28,9441.94,1.29,974947155968.0,12571.37,12254.27,12571.37,12199.94,2.25,1705617129472.0,4463.78,4378.04,4464.8,4364.17,1.77,739423617024.0,5169,3385,217,125,13,8909,3712.2,3554.79,上涨,上涨,False
2025-08-29,3857.93,3842.82,3867.61,3839.21,0.37,1221691834368.0,9731.77,9761.96,9793.2,9672.56,-0.28,846372536320.0,12696.15,12568.63,12791.18,12508.97,0.99,1576605450240.0,4496.76,4455.8,4516.84,4452.36,0.74,831194071040.0,3877,4711,179,99,28,8894,3727.1,3562.67,上涨,下跌,False
2025-09-01,3875.53,3869.75,3879.05,3853.66,0.46,1208347918336.0,9825.71,9772.54,9835.36,9725.88,0.97,849832247296.0,12828.95,12773.22,12830.18,12663.34,1.05,1541612634112.0,4523.71,4516.88,4528.13,4487.53,0.6,770378301440.0,5454,3116,198,160,9,8937,3741.71,3570.6,上涨,盘整,False
2025-09-02,3858.13,3877.09,3885.31,3828.68,-0.45,1222777634816.0,9581.56,9820.22,9821.4,9498.83,-2.48,913444634624.0,12553.84,12817.03,12857.16,12450.46,-2.14,1652213678080.0,4490.45,4521.98,4548.89,4454.42,-0.74,777999286272.0,1897,6693,185,68,60,8903,3753.74,3578.48,上涨,上涨,False
2025-09-03,3813.56,3865.29,3868.39,3794.88,-1.16,1012296056832.0,9424.98,9606.39,9639.62,9394.12,-1.63,722890719232.0,12472.0,12599.96,12669.8,12393.09,-0.65,1351790362624.0,4459.83,4501.34,4510.73,4427.52,-0.68,655697117184.0,1530,7155,87,53,56,8881,3762.72,3585.34,上涨,盘整,False
2025-09-04,3765.88,3807.76,3808.4,3732.84,-1.25,1107891978240.0,9229.53,9442.01,9501.28,9087.51,-2.07,740201857024.0,12118.7,12526.3,12580.09,11967.57,-2.83,1436365357056.0,4365.21,4461.25,4465.5,4327.51,-2.12,773124587520.0,3091,5513,169,57,86,8916,3769.03,3591.39,上涨,盘整,False
2025-09-05,3812.51,3761.88,3817.16,3745.31,1.24,979061702656.0,9497.63,9243.96,9497.63,9195.86,2.9,681873178624.0,12590.56,12140.76,12597.89,12085.54,3.89,1325596803072.0,4460.32,4365.61,4466.56,4350.3,2.18,664166989824.0,7943,729,107,203,5,8987,3777.9,3598.65,上涨,盘整,False
2025-09-08,3826.84,3811.67,3833.14,3803.6,0.38,1025883766784.0,9594.44,9509.27,9603.02,9474.63,1.02,724805484544.0,12666.84,12631.98,12689.17,12511.42,0.61,1392846176256.0,4467.57,4467.17,4482.76,4438.07,0.16,683630854144.0,6501,2097,194,99,30,8921,3786.86,3605.95,盘整,盘整,False
2025-09-09,3807.29,3816.66,3834.67,3791.72,-0.51,917795307520.0,9464.47,9562.65,9586.61,9426.58,-1.35,639730253824.0,12510.6,12598.29,12653.87,12434.84,-1.23,1200728178688.0,4436.26,4448.74,4472.09,4412.69,-0.7,562861113344.0,2024,6580,187,63,24,8878,3793.93,3612.95,盘整,上涨,False
2025-09-10,3812.22,3806.58,3827.0,3794.06,0.13,821113585664.0,9485.64,9457.2,9562.31,9418.67,0.22,599537483776.0,12557.68,12511.08,12621.19,12415.19,0.38,1157008982016.0,4445.36,4438.3,4466.63,4414.59,0.21,535539351552.0,4107,4381,297,71,6,8862,3800.37,3620.01,盘整,上涨,False
2025-09-11,3875.31,3806.06,3875.31,3796.43,1.65,1016793989120.0,9700.05,9470.61,9700.05,9387.67,2.26,731934818304.0,12979.89,12570.87,12979.89,12516.35,3.36,1420924682240.0,4548.03,4438.84,4548.03,4427.92,2.31,693156642816.0,7191,1392,203,148,13,8947,3810.81,3628.56,盘整,上涨,False
